Name,Desc,PlantType,Color,HardinessZones,BloomsIn,Height,SoilNeeds,SunNeeds,WaterNeeds,Maintenance
Anemone (Windflower),"<p>Anemone is a genus of <strong>about</strong> <strong>120 species </strong>of perennial flowering plants in the<strong> family Ranunculaceae</strong>, native to Europe, North America and Japan.<br/>
The flower stem bears one or several beautiful flowers, with an involucre of three leaflets below each flower, giving this plant an spectacular appearance. Whether tall-growing or low-growing, these flowers will add beauty to your garden!</p>",Perennials,The flowers can be found in all colors of the rainbow.,4-11,"Spring, Autumn, Summer","Anemone can grow from 10 cm to 1,5 metres (4 inches to 5 ft) tall.","The plant likes moist, but well drained soil. Anemones have a wide pH tolerance, from acid to neutral and alkaline.","Full sun, Partial sun",avarage,low
Anthurium (Flamingo Flower; Laceleaf),"<p>Anthurium is a large genus of <strong>about</strong> <strong>1000 species </strong>in the <strong>family Araceae</strong>, native to the tropical regions of the Americas.<br/>
Anthurium has large, lance-shaped or heart-shaped leaves and brightly colored, heart-shaped flower bracts. The spathe, which everyone calls a flower, is just a modified leaf. Its function is to protect the flowers. The real flowers are actually many tiny flowers growing along the spadix, arising from the base of the spathe. Anthurium is popular among flower lovers because of its bright colors, unusual appearance and lasting qualities of flowers.</p>",Perennials,"These plants range in color from red to pink, purple, yellow, white and green.",10-12,"Spring, Autumn, Summer",The species can grow up to 90 cm (3 ft) in height.,"Anthurium grows best in rich, well drained soil, with a pH between 5.5 and 6.5.","Full sun, Partial sun",avarage,low
Antirrhinum (Snapdragon; Dragon Flower),"<p>Antirrhinum, commonly knows as Snapdragon or Dragon Flower, is a genus of <strong>about 30 species </strong>of flowering plants in the <strong>family Plantaginaceae</strong>, native to Europe, northern Africa and western Asia.<br/>
Snapdragons produce beautiful dragon-shaped, two-lipped flowers on tall spikes above the foliage. The flowers are often scented and under certain conditions release a subtle perfume. They are attractive to pollinators including bumblebees and hummingbirds. Snapdragons are popular garden plants as well as cut flowers.</p>","Annuals, Perennials","The flowers come in a range of colors including white, red, pink, orange, yellow, green and purple. Bicolor varieties are also available.",5-10,"Spring, Autumn, Summer","Snapdragons can grow from 20 cm (8 inches) to 120 cm (4 ft) tall, depending on species.","This plant prefers rich, moist and well drained soil. The optimal soil pH is between 5.5 and 7.0.",Full sun,avarage,low
Aquilegia (Columbine),"<p>Aquilegia is a genus of <strong>about 70 species </strong>of perennials in the<strong> family Ranunculaceae</strong>, native to North America.<br/>
Columbine plants have small, rounded leaves and 5 petals and 5 sepals with spurs extending from the base. Their delicate and often multi-colored flowers grow on tall, slender stalks and attract butterflies, bees and hummingbirds.</p>",Perennials,"The flowers are yellow, white, blue, red, pink, purple or a combination of these shades.",3-9,"Spring, Summer",Columbine can grow up to 60 cm (2 ft) tall.,"The plant grows best in moist and well drained soil, with a pH between 6.0 and 7.0. (slightly acidic to neutral). Columbine grows well in just about any type of habitat, from dry deserts to mountains.","Full sun, Partial sun",avarage,low
Asclepias (Milkweed),"<p>Asclepias, also known as Milkweed, is a genus of <strong>about</strong> <strong>200 species</strong> of herbaceous perennials in the <strong>family Apocynaceae</strong>, native to Americas.<br/>
Milkweeds produce star-shaped flowers that appear in clusters on tall woody stems. These perennials are known for their sweet-smelling flowers and milky white liquid within its foliage. They are attractive to butterflies, bees and other insects.</p>",Perennials,"These flowers come in shades of red, purple, pink, orange, yellow and white.",3-9,"Autumn, Summer",The plant reaches heights of 30 cm (1 ft) to 180 cm (6 ft).,"Asclepias thrive best in well-drained soil, with a pH range of 5.0 to 7.0.",Full sun,avarage,low
Aster (Starwort; Frost flower),"<p>Aster is a genus of <strong>about</strong> <strong>180 species </strong>in the <strong>family of Asteraceae</strong>, native to Eurasia.<br/>
Asters are popular perennial flowers, commonly seen in bouquets and gardens. The flower is actually a combination of tiny tubular flowers, grouped together in a central yellow disk and surrounded by petals, the ring of ray flowers. They resemble daisies because of their shape and yellow centers.</p>",Perennials,"The flowers can be white, blue, purple, and red, mostly with yellow centers.",3-9,"Autumn, Summer",Asters are 60-180 cm (2-6 ft) tall.,"Asters grow best in moist and well drained soil, with a pH ranging from 5.5 to 7.5.","Full sun, Partial sun",avarage,medium
Astilbe (False Goat's Beard),"<p>Astilbe is a genus of <strong>about</strong> <strong>20 species </strong>of perennials in the<strong> family Saxifragaceae</strong>, native to Asia and North America.<br/>
Astilbe has plume-like flowers held above green, fern-like foliage on slender, upright stems. The striking clusters of small white, pink or reddish flowers bloom from spring to fall, depending on the variety. Astilbes are excellent low-maintenance plants and great cut flowers. They will also attract butterflies, bees, moths and hummingbirds to your garden!</p>",Perennials,"The flowers are available in white, pink and red colors.",3-9,"Spring, Autumn, Summer",The plants range in size from 30 cm (1 ft) to 150 cm (5 ft) in height.,"Astilbes thrive best in moist and well drained soil, with a pH level between 6.0 and 8.0.","Partial sun, Shade",avarage,low
Astrantia (Masterwort),"<p>Astrantia is a genus of <strong>about 10 species</strong> of herbaceous perennials in the <strong>family Apiaceae</strong>, native to Europe and Asia.<br/>
Astrantias produce long, wiry stems and compact clusters of star-like flowers with an interesting and beautiful shape. Each flower is actually a small umbel composed of numerous tiny flowers, surrounded by petal-like bracts. They bloom in spring and summer in shades of white, pink, purple and red, attracting butterflies and other garden visitors.</p>",Perennials,"The flower colors are white, pink, purple and red.",4-9,"Spring, Summer",Astrantia can grow up to 90 cm (3 ft) in height.,"These plants like fertile and moist, but well-drained soil. Most of them prefer loamy soils that retain moisture, but drain off standing water. However, some species tolerate drier soils and more sun exposure. They do not appear to be fussy about the soil pH.","Full sun, Partial sun",avarage,medium
Banksia (Australian Honeysuckle),"<p>Banksia is a genus of <strong>about 100 species </strong>in the <strong>family Proteaceae</strong>, native to the Southern Hemisphere. Most are shrubs, but some are robust trees, with diverse foliage and large, complex flower heads.<br/>
Banksias are known for their distinctive, often large cone-shaped flower spikes. The flower head is made up of hundreds or even thousands of small individual flowers attached to a central axis. The flowers are often honey-scented and nectar-rich. There is no doubt that Banksias are valued as an important food source for a number of animals. They are highly attractive to pollinators and the birds absolutely adore them!</p>","Perennials, Shrubs, Trees","Banksia flowers are yellow, creamy, orange, red, green, violet or even brown.",9-11,"Spring, Autumn, Winter, Summer","Banksias range from 25 cm (1 ft) to 30 metres (100 feet) in height, depending on the species.","These plants will grow in most soil types if given good drainage. However, they will perform best in sandy soils with a pH between 5.5 and 7.0.","Full sun, Partial sun",avarage,low
Baptisia (False Indigo),"<p>Baptisia is a genus of <strong>more than 20 species </strong>of perennials in the <strong>family Fabaceae</strong>, native to North America.<br/>
These long-living, showy plants have impressive spikes of pea-like flowers that bloom in spring and summer, attracting butterflies, hummingbirds and bees. Their durability and beauty have been long appreciated by gardeners.</p>",Perennials,"Baptisia comes in shades of blue, yellow and white, while many hybrids can be found in a wide variety of colors.",3-9,"Spring, Summer","The species range in size from 30 cm to 1,5 metres (1-5 ft) in height.","Baptisia prefers rich, well drained and slightly acidic soils.",Full sun,avarage,low
Begonia (Begonia),"<p>There are <strong>over 1500 species </strong>of Begonias which belong to the<strong> Begoniaceae family</strong>. They are native to Asia, Africa and Central and South America, but most of them grow in equatorial countries.<br/>
Begonia produces single and double blooms which are showy and available in various colors, with delicate and smooth petals. These flowers are easy to grow and do well in the shade.</p>","Annuals, Bulbs, Perennials","Begonias come in many different colors, but mostly in red, white, yellow, orange and pink.",2-11,"Spring, Autumn, Summer",Begonias can grow from 20 - 60 cm (8 inches to 2 ft).,"Begonias prefer moist, well drained and more acidic soil. They have a low tolerance for drought.","Partial sun, Shade",avarage,low
Bellis (Daisy),"<p>Bellis is a genus of flowering plants, mostly perennials, that belong to the <strong>sunflower family (Asteraceae)</strong> and are native to Europe and northern Africa.<br/>
The genus contains <strong>10 species</strong> <strong>including Bellis perennis</strong>, the so-called “common daisy” or “English daisy”, often considered to be the iconic symbol of the whole species. Bellis members have basal leaves and solitary flower heads borne on simple stalks. They are excellent for beds, borders and rock gardens.</p>",Perennials,"These flowers come in shades of white, red, pink and purple. They usually have white petals and a yellow center, but many cultivars are available in a range of colors.",3-10,"Spring, Autumn, Summer","The species are small, growing up to 20 cm (8 inches) in height.","This plant likes rich, moist and well drained soil. It is not fussy about the soil pH.","Full sun, Partial sun",avarage,low
Bergenia (Elephants Ears; Winter Glow; Pigsqueak),"<p>Bergenia is a genus of <strong>about 10 species </strong>of flowering plants native to Central Asia. This slow growing plant belongs to the <strong>Saxifragaceae family</strong>.<br/>
Bergenia forms clumps of large leaves and clusters of small, bell-shaped flowers. These plants are great for rock gardens, as well as for borders.</p>",Perennials,"Bergenia comes in shades of red, pink, purple and white.",3-9,"Spring, Winter, Summer",Members in this genus usually grow between 20 and 60 cm (8 inches to 2 ft) tall.,"Bergenia prefers moist, but well drained soil. It tolerates a wide range of soil conditions.","Full sun, Partial sun",avarage,low
Borago (Borage),"<p>Borago, also known as Borage is a genus of <strong>five species</strong> in the <strong>family Boraginaceae</strong>, native to the Mediterranean region.<br/>
These plants usually have long stalks, alternate leaves and attractive star-shaped or bell-shaped flowers. The nectar of the flowers is extremely attractive to bees, so expect to hear the gentle, but audible sound of bees buzzing among them when they are in bloom. They are great for beds, borders and herb gardens.</p>","Annuals, Perennials","The flowers are mostly blue in color, but can also be pink.",2-11,"Spring, Autumn, Summer","They can grow up to 2 metres (6.5 ft) in height, depending on species.","These plants will grow in any type of soil, as long as it is rich and well drained. The ideal soil pH is between 6.0 and 7.0.","Full sun, Partial sun",avarage,low
Bougainvillea (Bougainvillea),"<p><span class=""srTitle"">Bougainvillea is a genus of <strong>about 15 species </strong>of shrubs, vines and small trees in the<strong> family Nyctaginaceae</strong></span><span class=""srTitle"">, native to South America.<br/>
</span><span class=""srTitle"">What we can see as a colorful papery “flowers” are actually modified leaves called bracts. The actual white and tiny flowers are surrounded by these large and brightly colored bracts.<br/>
</span><span class=""srTitle"">Bougainvillea is a popular garden plant due to its colorful bracts and its versatility in the garden.<br/>
</span></p>","Climbers, Shrubs, Trees","Bougainvillea bracts come in shades of red, purple, yellow, pink, orange and white. The flowers are generally white.",9-11,"Spring, Autumn, Winter, Summer",Bougainvillea can grow from 60 cm to 12 metres (2 to 40 ft) tall.,"Bougainvillea prefers moist, well drained and slightly acidic soil with a pH of 5.5 to 6.5.",Full sun,low,low
Bouvardia (Firecracker bush; Trumpetellia; Hummingbird flower),"<p>Bouvardia is a genus of <strong>about</strong> <strong>50 species </strong>of flowering plants in the<strong> family Rubiaceae</strong>, native to Mexico and tropical America.<br/>
These species are evergreen herbs or shrubs, with large, deep-green leaves and single or double trumpet-shaped or star-shaped flowers, carried on tall, sometimes woody stems. They attract birds and butterflies to the garden and make wonderful additions to a number of different kinds of bouquets and arrangements.</p>","Herbs, Shrubs","Bouvardia comes in shades of white, yellow, pink, orange and red.",9-11,"Spring, Autumn, Summer","The species can grow between 60 cm (2 ft) and 1,5 metres (5 ft) tall.","Bouvardia prefers well drained, sandy to clay loam soil.","Full sun, Partial sun",avarage,low
Brugmansia (Angel's Trumpet),"<p>Brugmansia, also known as Angel’s Trumpet, is a genus of <strong>about 10 species</strong> of flowering plants in the <strong>family Solanaceae</strong>, native to tropical regions of South America.<br/>
The genus includes shrubs and small trees, with alternate, simple leaves and large, pendulous, trumpet-shaped flowers. The fragrant flowers come in a variety of colors, attracting moths that pollinate them. These plants contain chemicals called tropane alkaloids that in sufficient quantities could be fatal. They are beautiful, but very toxic!</p>","Shrubs, Trees","The flowers come in shades of white, yellow, pink, orange and red.",8-11,"Autumn, Winter, Summer",The species range in size from 90 cm (3 ft) to 8 m (26 ft) tall.,"This plant likes rich, fertile, well-drained and moisture-retentive soil. It also prefers acidic soil, with a pH range of 5.5 to 7.0.","Full sun, Partial sun",avarage,low
Buddleia (Butterfly Bush),"<p>Buddleia (or Buddleja) is a genus of <strong>about</strong> <strong>140 species </strong>in the <strong>family Scrophulariaceae</strong>, native to Asia, Africa and the Americas. Most of the species are deciduous or evergreen shrubs, but a few species are trees.<br/>
Buddleia, also known as “Butterfly Bush”, produces striking flower spikes which come in a fine mixture of colors. Each flower is small, tubular and contains four petals. Buddleia is one of the most beautiful and easiest flowers to care for. These beauties are grown for their fragrant flowers which attract many different types of butterflies throughout the growing season.</p>","Shrubs, Trees","The flowers come in shades of purple, blue, white, pink or red.",5-10,"Autumn, Summer","The plant can grow between 30 cm (1 ft) and 5 metres (16 ft) high, depending on species.","Buddleia will grow in almost any soil, but will perform best in moist and well drained soil, with a pH level between 6.0 and 7.0.",Full sun,avarage,low
Calendula (Marigold),"<p>Calendula is a genus of <strong>about 15 species </strong>of herbaceous plants in the<strong> family Asteraceae</strong>, native to Asia, Central Europe and the Mediterranean. The most popular member of the genus is Calendula officinalis, also known as Pot Marigold.<br/>
Calendulas are admired by gardeners for their cheerful, daisy-like, bright orange and yellow flowers. Blooms may be single or double and are made of tiny disk and ray florets. The simple leaves are borne alternately along the waxy, smooth, or glandular stems. Calendulas are not only easy to grow, but also provide a long season of blooms. Once you see them bloom in your garden, you will want to see them again and again!</p>","Annuals, Herbs, Perennials",Calendula flowers are usually yellow and orange.,2-11,"Spring, Autumn, Winter, Summer","The plant may grow from 30 to 60 cm (1-2 ft) in height, depending on the variety and soil conditions.","This plant tolerates a wide range of soil conditions, but does best in rich, well-drained soils. The soil pH should be between 5.5 and 7.0.","Full sun, Partial sun",avarage,low
Calluna (Heather; Common Heather; Scottish Heather),"<p>Calluna, also known as Heather, is a genus in the <strong>Ericaceae family</strong>.<br/>
<strong>The sole species in this genus is Calluna vulgaris</strong>, an evergreen flowering shrub with hundreds of vibrant, bell shaped flowers that bloom in late summer. Calluna vulgaris is native to Europe, North Africa and temperate Asia. Although it is most often associated with the rocky highlands of Scotland where it has grown for centuries, Calluna is widely spread around the world and grows on nearly every continent.</p>",Shrubs,"This flower comes in shades of red, purple, pink and white.",4-6,Summer,This plant grows between 30 to 60 cm (1-2 ft) tall.,"Calluna grows best in acidic, moist and well drained soil.",Full sun,avarage,low
Camellia (Camellia),"<p>Camellia is a genus of <strong>about</strong> <strong>250 species </strong>of evergreen shrubs and trees in the <strong>Theaceae family</strong>, native to eastern Asia.<br/>
Perfectly shaped, wahy blooms come in a remarkable range of sizes, colors and forms. It is always lovely to see this long-blooming and shade-loving flower!</p>","Shrubs, Trees","Camellia offers a large palette of colors, from white to yellow, pink red and purple.",6-10,"Spring, Autumn, Winter","Although its a slow grower, Camellia reaches a height of 1-6 metres (3-20 ft).","These plants will perform best in moist and well drained soil, with a ph between 5.5 and 6.5.","Partial sun, Shade",avarage,low
Campanula (Bellflower),"<p>Campanula is a genus of <strong>about</strong> <strong>500 species </strong>of annuals, perennials and biennials in the<strong> family Campanulaceae, </strong>native to temperate regions of the Northern Hemisphere.<br/>
Campanula is also known as Bellflower for its distinctive bell-like shape, and indeed, these lovely plants have flowers whose petals overlap to form a deep bell shape. These sun-loving plants come in many sizes and varieties, from dwarf alpine species to the large-growing woodland species. Many are cultivated as garden ornamentals.</p>","Annuals, Perennials","Depending on the species, Campanula produces white, blue, purple, pink or lilac bells.",3-9,"Spring, Autumn, Summer","Some species grow just 5 to 10 cm (a few inches) tall, while others can grow 2 metres (6 ft) in height.","Campanula prefers rich, well drained soil.","Full sun, Partial sun",avarage,low
Canna (Canna Lily),"<p>Canna is a genus of about <strong>10 species</strong> of herbaceous perennials in the <strong>family Cannaceae</strong>, native to tropical and semi-tropical regions of North, Central and South America.<br/>
Cannas are often referred to as “Canna Lily”, although they have no relationship to the lily family (Liliaceae). They produce large, banana-shaped leaves and striking, colorful flowers that resemble Irises. These exotic flowers will add color, visual interest and texture to the landscape. They will brighten up your flower beds and borders instantly all summer long.</p>","Bulbs, Perennials","The flowers come in various colors, including red, orange, pink, yellow, cream and white.",7-11,"Autumn, Summer",The species vary in height from 90 cm (3 ft) to 3 m (10 ft).,"They can be planted in a wide range of soils, but optimal soil is fertile, moist and well-drained. The ideal soil pH is between 5.5 and 6.5.",Full sun,avarage,medium
Celosia (Celosia),"<p>Celosia is a genus of <strong>about</strong> <strong>50 species </strong>in the <strong>family Amaranthaceae</strong>, native to tropical regions of Africa, Asia and South America.<br/>
Celosia has striking, eye-catching flowers that bloom in the summer and well into the fall. These flowers come in a variety of colors, shapes and sizes, adding color and character to your garden.</p>","Annuals, Perennials","The flowers can be purple, red, orange, pink, gold, yellow and white.",2-12,"Autumn, Summer",The plants range from dwarf species to the larger varieties that grow up to 150 cm (5 ft) high.,"Celosia prefers rich, moist and well drained soil. It thrives in clay and is drought tolerant once established. The soil should have a pH level between 6.0 and 7.0.",Full sun,avarage,low
Centaurea (Cornflower; Bachelor's Button; Basket Flower),"<p>Centaurea is a genus of <strong>about 500 species </strong>in the<strong> family Asteraceae</strong>, native to the Old World.<br/>
These plants have erect and hairy stems, narrow, lance shaped leaves and flowers arranged in the flower heads on top of the flowering stem. The flowers contain disk florets, such as those in the yellow center of a daisy, and petal-like ray florets on the periphery of the flower head. Centaureas are rare in the wild, but are becoming increasingly popular in gardens.</p>","Annuals, Perennials","The flowers are traditionally blue in color but are also available in purple, pink, yellow and white.",2-11,"Spring, Summer",Centaurea can reach 30 to 90 cm (1 to 3 ft) in height.,"Centaurea plants prefer moist and well drained soil, with a pH level between 5.5 and 7.0.  However, they are very adaptable and will grow in nutritionally poor soils.","Full sun, Partial sun",avarage,low
Chrysanthemum (Mum),"<p>Chrysanthemum is a genus of <strong>about</strong> <strong>40 species</strong> of perennials native to Asia and Europe, which belongs to the <strong>Asteraceae family</strong>.<br/>
Chrysanthemum is one of the most popular flowers in the world. It comes in various shapes, sizes and colors and produces wonderful flowers that bloom in summer and autumn. The plant is ideal for growing in beds and pots.</p>",Perennials,"The flowers come in a rainbow of colors, but the most common are red, yellow, white and purple.",4-11,"Spring, Autumn",Chrysanthemums range in size from 30 cm (1 ft) to 120 cm (4 ft).,The plant likes moist and well drained soil. The optimal soil pH is between 6.0 and 7.0.,Full sun,avarage,medium
Cistus (Rock Rose),"<p>Cistus, commonly known as Rock Rose, is a genus of <strong>about 50 species</strong> of evergreen shrubs in the <strong>family Cistaceae</strong>, mainly native to the Mediterranean region.<br/>
Rock Roses produce simple, opposite leaves and five-petaled, bowl-shaped flowers that bloom in shades of white, pink and purple. They are considered low maintenance plants because they are drought tolerant and will hold up very well when not consistently watered. They thrive in dry conditions while providing your garden with texture and color during spring and summer months.</p>","Perennials, Shrubs","The flowers come in shades of purple, pink and white.",7-11,"Spring, Summer","Rock Rose can grow up to 4 m (13 ft) in height, depending on species. Cistus ladanifer, also known as Gum Cistus, can reach a height of 4 m (13 ft), but is more commonly 1 to 2 m (3 to 6 ft) tall.",Cistus will grow in almost any soil that is well-drained and will tolerate a wide pH range. The plant is drought tolerant and thrives in poor and moderately fertile soil.,Full sun,low,low
Clarkia (Godetia),"<p>Clarkia is a genus of <strong>about 40 species</strong> of annuals in the <strong>family Onagraceae</strong>, mostly native to western North America.<br/>
Clarkia produces cheerful, cup-shaped blooms in various shapes and colors. Flowers typically have four sepals and four petals united at the base of the flower tube. Clarkias are easy to grow beauties that will bring vivid color and charm to your summer garden.</p>",Annuals,"These flowers come in a range of colors including red, purple, pink, orange and white.",3-10,"Autumn, Summer",This plant can reach up to 150 cm (5 ft) tall.,"Clarkia grows best in rich, moist, well drained and loamy soils, with a pH between 6.0 and 8.5.","Full sun, Partial sun",low,low
Claytonia (Spring Beauty),"<p>Claytonia, commonly known as Spring Beauty, is a genus of about <strong>30 species</strong> of flowering plants in the <strong>family Montiaceae</strong>, native to the Americas and Asia.<br/>
They come in various shapes and forms, with both annual and perennial species. The flowers are usually five-petalled and come in shades of white, pink, purple and red. Their natural habitat is woodland, so they enjoy filtered sunlight. Some species are edible and taste really good!</p>","Annuals, Bulbs, Perennials","The flowers come in shades of white, pink, purple and red.",3-9,"Spring, Winter, Summer",This plant can grow up to 30 cm (1 ft) tall.,Spring Beauty prefers rich and well-drained soil. The ideal soil pH is between 5.5 and 7.5.,"Full sun, Partial sun",avarage,low
Clematis (Travellers Joy; Old Man's Beard),"<p>Clematis is a genus of <strong>more than 300 species</strong> of flowering vines, shrubs and herbaceous perennials in the <strong>family Ranunculaceae</strong>, native to East Asia.<br/>
These plants come in different shapes, sizes and colors, including a range of different flower types. They are versatile and easy to care. Clematis, also known as the “Queen of the climbers”, is without the doubt one of the most popular garden plant. The flexible and flowering stems provide exciting effects in the garden, creating a glorious experience all season long.</p>","Climbers, Perennials, Shrubs",These flowers offer a wide range of different colors.,3-11,"Spring, Autumn, Winter, Summer",The species range in size from 30 cm (1 ft) to 12 metres (40 ft).,Clematis prefers moist and well drained soil. The ideal soil ph is between 5.5 and 7.0.,"Full sun, Partial sun",avarage,low
